company,period,metric,true_value,true_unit
AAPL,FY2024,Total Revenue,,
AAPL,FY2024,Net Income,,
AAPL,FY2024,Diluted EPS,,
AAPL,FY2024,Gross Profit,,
AAPL,FY2024,Operating Income,,
AAPL,FY2024,Total Assets,,
AAPL,FY2024,Total Liabilities,,
AAPL,FY2024,Operating Cash Flow,,
AAPL,FY2023,Total Revenue,,
AAPL,FY2023,Net Income,,
AAPL,FY2023,Diluted EPS,,
AAPL,FY2023,Gross Profit,,
AAPL,FY2023,Operating Income,,
AAPL,FY2023,Total Assets,,
AAPL,FY2023,Total Liabilities,,
AAPL,FY2023,Operating Cash Flow,,
